FECHA,VOLUMEN
1/1/17,0
2/1/17,1189
3/1/17,1258
4/1/17,627
5/1/17,1600
6/1/17,1060
7/1/17,34
8/1/17,10
9/1/17,1301
10/1/17,1210
11/1/17,1243
12/1/17,1345
13/01/2017,1349
14/01/2017,34
15/01/2017,9
16/01/2017,1808
17/01/2017,1580
18/01/2017,1245
19/01/2017,1219
20/01/2017,1061
21/01/2017,28
22/01/2017,5
23/01/2017,1303
24/01/2017,1118
25/01/2017,1038
26/01/2017,1040
27/01/2017,997
28/01/2017,5
29/01/2017,10
30/01/2017,1571
31/01/2017,1451
1/2/17,1297
2/2/17,1321
3/2/17,702
4/2/17,12
5/2/17,0
6/2/17,1759
7/2/17,1138
8/2/17,1056
9/2/17,1009
10/2/17,565
11/2/17,44
12/2/17,237
13/02/2017,962
14/02/2017,1419
15/02/2017,1366
16/02/2017,999
17/02/2017,1507
18/02/2017,0
19/02/2017,0
20/02/2017,1490
21/02/2017,739
22/02/2017,1534
23/02/2017,965
24/02/2017,588
25/02/2017,56
26/02/2017,35
27/02/2017,1810
28/02/2017,1444
1/3/17,1062
2/3/17,1442
3/3/17,962
4/3/17,359
5/3/17,0
6/3/17,1145
7/3/17,1496
8/3/17,556
9/3/17,1469
10/3/17,795
11/3/17,7
12/3/17,14
13/03/2017,1727
14/03/2017,1391
15/03/2017,1441
16/03/2017,823
17/03/2017,1205
18/03/2017,26
19/03/2017,655
20/03/2017,766
21/03/2017,1644
22/03/2017,1189
23/03/2017,1041
24/03/2017,786
25/03/2017,58
26/03/2017,48
27/03/2017,1033
28/03/2017,1488
29/03/2017,1501
30/03/2017,1314
31/03/2017,733
1/4/17,0
2/4/17,1
3/4/17,1196
4/4/17,932
5/4/17,2449
6/4/17,1324
7/4/17,1219
8/4/17,13
9/4/17,17
10/4/17,1369
11/4/17,1234
12/4/17,771
13/04/2017,0
14/04/2017,0
15/04/2017,7
16/04/2017,20
17/04/2017,1551
18/04/2017,2134
19/04/2017,2210
20/04/2017,1201
21/04/2017,1151
22/04/2017,12
23/04/2017,23
24/04/2017,744
25/04/2017,1248
26/04/2017,1083
27/04/2017,1513
28/04/2017,1207
29/04/2017,68
30/04/2017,75
1/5/17,0
2/5/17,488
3/5/17,2238
4/5/17,1129
5/5/17,956
6/5/17,4
7/5/17,25
8/5/17,1456
9/5/17,1183
10/5/17,708
11/5/17,776
12/5/17,625
13/05/2017,38
14/05/2017,13
15/05/2017,863
16/05/2017,2596
17/05/2017,2669
18/05/2017,1302
19/05/2017,1699
20/05/2017,73
21/05/2017,28
22/05/2017,777
23/05/2017,1373
24/05/2017,859
25/05/2017,1039
26/05/2017,1280
27/05/2017,69
28/05/2017,51
29/05/2017,1537
30/05/2017,1388
31/05/2017,1498
1/6/17,1097
2/6/17,1036
3/6/17,0
4/6/17,0
5/6/17,1135
6/6/17,1096
7/6/17,989
8/6/17,999
9/6/17,890
10/6/17,21
11/6/17,30
12/6/17,1131
13/06/2017,1086
14/06/2017,1220
15/06/2017,941
16/06/2017,506
17/06/2017,38
18/06/2017,37
19/06/2017,1166
20/06/2017,684
21/06/2017,666
22/06/2017,2345
23/06/2017,974
24/06/2017,50
25/06/2017,55
26/06/2017,837
27/06/2017,1735
28/06/2017,1155
29/06/2017,0
30/06/2017,1157
1/7/17,22
2/7/17,0
3/7/17,1562
4/7/17,1343
5/7/17,1195
6/7/17,1186
7/7/17,975
8/7/17,30
9/7/17,11
10/7/17,1396
11/7/17,1299
12/7/17,1200
13/07/2017,1358
14/07/2017,1604
15/07/2017,32
16/07/2017,28
17/07/2017,1664
18/07/2017,1433
19/07/2017,1346
20/07/2017,1148
21/07/2017,994
22/07/2017,107
23/07/2017,22
24/07/2017,1320
25/07/2017,984
26/07/2017,1291
27/07/2017,938
28/07/2017,0
29/07/2017,0
30/07/2017,95
31/07/2017,1448
1/8/17,852
2/8/17,1735
3/8/17,1082
4/8/17,1046
5/8/17,30
6/8/17,8
7/8/17,1075
8/8/17,1223
9/8/17,572
10/8/17,1169
11/8/17,994
12/8/17,92
13/08/2017,43
14/08/2017,1273
15/08/2017,1757
16/08/2017,1083
17/08/2017,1215
18/08/2017,950
19/08/2017,48
20/08/2017,67
21/08/2017,739
22/08/2017,1248
23/08/2017,1200
24/08/2017,1124
25/08/2017,935
26/08/2017,145
27/08/2017,58
28/08/2017,1540
29/08/2017,1249
30/08/2017,0
31/08/2017,1507
1/9/17,1289
2/9/17,9
3/9/17,19
4/9/17,1275
5/9/17,1108
6/9/17,1437
7/9/17,800
8/9/17,1101
9/9/17,24
10/9/17,36
11/9/17,1425
12/9/17,1169
13/09/2017,1496
14/09/2017,960
15/09/2017,1198
16/09/2017,72
17/09/2017,76
18/09/2017,1565
19/09/2017,1175
20/09/2017,1091
21/09/2017,928
22/09/2017,832
23/09/2017,39
24/09/2017,50
25/09/2017,1042
26/09/2017,1199
27/09/2017,1064
28/09/2017,1366
29/09/2017,1074
30/09/2017,167
1/10/17,15
2/10/17,1282
3/10/17,1031
4/10/17,1094
5/10/17,1036
6/10/17,869
7/10/17,17
8/10/17,0
9/10/17,1225
10/10/17,938
11/10/17,1097
12/10/17,1306
13/10/2017,1251
14/10/2017,0
15/10/2017,0
16/10/2017,1582
17/10/2017,1236
18/10/2017,1074
19/10/2017,1052
20/10/2017,1036
21/10/2017,12
22/10/2017,0
23/10/2017,817
24/10/2017,1560
25/10/2017,1037
26/10/2017,1133
27/10/2017,1305
28/10/2017,0
29/10/2017,4
30/10/2017,1559
31/10/2017,1248
1/11/17,1
2/11/17,1061
3/11/17,915
4/11/17,0
5/11/17,0
6/11/17,1310
7/11/17,975
8/11/17,973
9/11/17,829
10/11/17,859
11/11/17,0
12/11/17,9
13/11/2017,1319
14/11/2017,1443
15/11/2017,1274
16/11/2017,1080
17/11/2017,1008
18/11/2017,0
19/11/2017,0
20/11/2017,1399
21/11/2017,1108
22/11/2017,1080
23/11/2017,1028
24/11/2017,713
25/11/2017,40
26/11/2017,22
27/11/2017,1436
28/11/2017,1255
29/11/2017,1253
30/11/2017,1249
1/12/17,1094
2/12/17,0
3/12/17,0
4/12/17,1602
5/12/17,1195
6/12/17,1055
7/12/17,1066
8/12/17,0
9/12/17,0
10/12/17,0
11/12/17,1524
12/12/17,1320
13/12/2017,1368
14/12/2017,1258
15/12/2017,972
16/12/2017,0
17/12/2017,9
18/12/2017,1565
19/12/2017,1214
20/12/2017,1040
21/12/2017,942
22/12/2017,752
23/12/2017,0
24/12/2017,0
25/12/2017,0
26/12/2017,1208
27/12/2017,1049
28/12/2017,1122
29/12/2017,1000
30/12/2017,0
31/12/2017,0
1/1/18,0
2/1/18,1153
3/1/18,960
4/1/18,935
5/1/18,991
6/1/18,0
7/1/18,0
8/1/18,1120
9/1/18,870
10/1/18,883
11/1/18,952
12/1/18,1214
13/01/2018,233
14/01/2018,2
15/01/2018,1538
16/01/2018,1098
17/01/2018,1000
18/01/2018,931
19/01/2018,930
20/01/2018,206
21/01/2018,0
22/01/2018,951
23/01/2018,809
24/01/2018,820
25/01/2018,862
26/01/2018,1029
27/01/2018,133
28/01/2018,0
29/01/2018,1596
30/01/2018,1144
31/01/2018,1021
1/2/18,936
2/2/18,1268
3/2/18,0
4/2/18,1
5/2/18,1176
6/2/18,938
7/2/18,924
8/2/18,1010
9/2/18,891
10/2/18,106
11/2/18,0
12/2/18,1332
13/02/2018,1372
14/02/2018,1202
15/02/2018,1087
16/02/2018,1082
17/02/2018,93
18/02/2018,0
19/02/2018,1000
20/02/2018,1021
21/02/2018,911
22/02/2018,652
23/02/2018,689
24/02/2018,0
25/02/2018,0
26/02/2018,1227
27/02/2018,1558
28/02/2018,1327
1/3/18,1185
2/3/18,1065
3/3/18,0
4/3/18,0
5/3/18,1428
6/3/18,1058
7/3/18,737
8/3/18,953
9/3/18,905
10/3/18,0
11/3/18,0
12/3/18,1257
13/03/2018,1115
14/03/2018,1205
15/03/2018,1060
16/03/2018,923
17/03/2018,0
18/03/2018,7
19/03/2018,1248
20/03/2018,1013
21/03/2018,917
22/03/2018,811
23/03/2018,742
24/03/2018,8
25/03/2018,0
26/03/2018,1449
27/03/2018,837
28/03/2018,1739
29/03/2018,0
30/03/2018,0
31/03/2018,0
1/4/18,0
2/4/18,1862
3/4/18,1382
4/4/18,1198
5/4/18,1001
6/4/18,923
7/4/18,0
8/4/18,0
9/4/18,1255
10/4/18,1059
11/4/18,1003
12/4/18,1145
13/04/2018,937
14/04/2018,0
15/04/2018,0
16/04/2018,1358
17/04/2018,964
18/04/2018,1261
19/04/2018,1284
20/04/2018,719
21/04/2018,0
22/04/2018,0
23/04/2018,949
24/04/2018,809
25/04/2018,915
26/04/2018,1261
27/04/2018,2139
28/04/2018,0
29/04/2018,0
30/04/2018,1886
1/5/18,0
2/5/18,1360
3/5/18,1202
4/5/18,1069
5/5/18,0
6/5/18,0
7/5/18,1422
8/5/18,1006
9/5/18,931
10/5/18,805
11/5/18,848
12/5/18,0
13/05/2018,0
14/05/2018,1404
15/05/2018,1095
16/05/2018,1113
17/05/2018,846
18/05/2018,867
19/05/2018,0
20/05/2018,0
21/05/2018,1281
22/05/2018,922
23/05/2018,891
24/05/2018,900
25/05/2018,829
26/05/2018,0
27/05/2018,0
28/05/2018,1382
29/05/2018,1125
30/05/2018,1206
31/05/2018,1130
1/6/18,893
2/6/18,0
3/6/18,0
4/6/18,852
5/6/18,1519
6/6/18,986
7/6/18,941
8/6/18,878
9/6/18,0
10/6/18,0
11/6/18,1306
12/6/18,1215
13/06/2018,1087
14/06/2018,933
15/06/2018,868
16/06/2018,0
17/06/2018,0
18/06/2018,984
19/06/2018,850
20/06/2018,828
21/06/2018,747
22/06/2018,783
23/06/2018,0
24/06/2018,0
25/06/2018,1045
26/06/2018,1094
27/06/2018,1162
28/06/2018,935
29/06/2018,0
30/06/2018,0
